Date,Total Mentions,Twitter,Forums,Blogs
1/01/2020,6,1,5,0
2/01/2020,2,2,0,0
3/01/2020,1,1,0,0
4/01/2020,3,2,1,0
6/01/2020,1,0,1,0
8/01/2020,2,1,1,0
9/01/2020,21,21,0,0
10/01/2020,16,16,0,0
11/01/2020,19,18,0,1
12/01/2020,14,14,0,0
13/01/2020,8,8,0,0
14/01/2020,6,6,0,0
15/01/2020,34,32,1,1
16/01/2020,37,37,0,0
17/01/2020,78,78,0,0
18/01/2020,48,47,0,1
19/01/2020,41,41,0,0
20/01/2020,148,143,4,1
21/01/2020,1271,1232,23,16
22/01/2020,1294,1269,1,24
23/01/2020,1740,1696,30,14
24/01/2020,2237,2136,62,39
25/01/2020,4208,4064,107,37
26/01/2020,4088,3930,136,22
27/01/2020,4330,4191,99,40
28/01/2020,5496,5136,261,99
29/01/2020,6549,6231,203,115
30/01/2020,6476,6180,187,109
31/01/2020,7244,6857,257,130
1/02/2020,5570,5299,225,46
2/02/2020,4141,3913,189,39
3/02/2020,3921,3700,116,105
4/02/2020,3979,3536,364,79
5/02/2020,4246,3724,456,66
6/02/2020,3748,3317,332,99
7/02/2020,4115,3777,267,71
8/02/2020,3390,3131,229,30
9/02/2020,2781,2530,242,9
10/02/2020,3048,2609,390,49
11/02/2020,3647,3225,352,70
12/02/2020,3317,2936,318,63
13/02/2020,3361,3053,223,85
14/02/2020,2904,2632,196,76
15/02/2020,2096,1869,201,26
16/02/2020,1843,1700,131,12
17/02/2020,2445,2164,218,63
18/02/2020,2721,2367,259,95
19/02/2020,2132,1899,173,60
20/02/2020,2242,1906,256,80
21/02/2020,2013,1734,214,65
22/02/2020,2492,2263,201,28
23/02/2020,2200,1993,181,26
24/02/2020,3917,3515,334,68
25/02/2020,4370,3924,363,83
26/02/2020,6174,5558,498,118
27/02/2020,7607,7074,397,136
28/02/2020,8496,7797,548,151
29/02/2020,7995,7531,423,41
1/03/2020,7136,6683,409,44
2/03/2020,8460,7646,649,165
3/03/2020,11034,10208,641,185
4/03/2020,13286,12195,816,275
5/03/2020,12872,12027,543,302
6/03/2020,10987,10016,675,296
7/03/2020,10209,9672,394,143
8/03/2020,10076,9457,465,154
9/03/2020,11417,10531,620,266
10/03/2020,16243,15102,780,361
11/03/2020,15805,14823,608,374
12/03/2020,25911,24408,1019,484
13/03/2020,34743,33021,1122,600
14/03/2020,25228,23950,919,359
15/03/2020,23992,22476,1207,309
16/03/2020,26998,25213,1175,610
17/03/2020,28354,26501,1180,673
18/03/2020,25385,23767,972,646
19/03/2020,25886,24291,948,647
20/03/2020,23761,22276,843,642
21/03/2020,20148,18904,862,382
22/03/2020,21822,20405,1062,355
23/03/2020,24280,22741,919,620
24/03/2020,23580,21724,1194,662
25/03/2020,24203,22050,1490,663
26/03/2020,21110,19328,1148,634
27/03/2020,21678,19992,1036,650
28/03/2020,17169,16018,761,390
29/03/2020,15343,14228,821,294
30/03/2020,17522,16231,694,597
31/03/2020,17192,15624,933,635
1/04/2020,17086,15720,822,544
2/04/2020,16917,15702,691,524
3/04/2020,14747,13476,757,514
4/04/2020,12564,11486,768,310
5/04/2020,12536,11609,663,264
6/04/2020,13249,12230,533,486