Date,All
24/12/2019,2
27/12/2019,2
1/01/2020,8
2/01/2020,6
3/01/2020,2
4/01/2020,7
5/01/2020,1
6/01/2020,2
7/01/2020,1
8/01/2020,3
9/01/2020,92
10/01/2020,74
11/01/2020,90
12/01/2020,89
13/01/2020,54
14/01/2020,60
15/01/2020,79
16/01/2020,135
17/01/2020,275
18/01/2020,176
19/01/2020,132
20/01/2020,439
21/01/2020,3556
22/01/2020,3928
23/01/2020,5036
24/01/2020,7272
25/01/2020,13730
26/01/2020,17163
27/01/2020,17967
28/01/2020,17021
29/01/2020,19117
30/01/2020,20325
31/01/2020,24511
1/02/2020,18391
2/02/2020,14267
3/02/2020,11378
4/02/2020,10557
5/02/2020,10680
6/02/2020,10006
7/02/2020,11939
8/02/2020,11177
9/02/2020,9173
10/02/2020,8884
11/02/2020,10571
12/02/2020,9425
13/02/2020,8991
14/02/2020,7799
15/02/2020,6265
16/02/2020,6316
17/02/2020,6791
18/02/2020,7367
19/02/2020,6899
20/02/2020,6137
21/02/2020,5897
22/02/2020,7729
23/02/2020,7776
24/02/2020,11905
25/02/2020,14087
26/02/2020,21715
27/02/2020,28240
28/02/2020,32068
29/02/2020,31370
1/03/2020,30266
2/03/2020,30304
3/03/2020,36460
4/03/2020,42089
5/03/2020,40777
6/03/2020,38889
7/03/2020,39767
8/03/2020,43231
9/03/2020,44482
10/03/2020,64542
11/03/2020,64672
12/03/2020,105675
13/03/2020,156032
14/03/2020,130270
15/03/2020,116446
16/03/2020,125837
17/03/2020,136839
18/03/2020,120898
19/03/2020,123805
20/03/2020,117726
21/03/2020,109532
22/03/2020,111480
23/03/2020,120690
24/03/2020,113919
25/03/2020,114571
26/03/2020,102206
27/03/2020,97842
28/03/2020,88565
29/03/2020,80041
30/03/2020,82547
31/03/2020,79798
1/04/2020,77100
2/04/2020,80960
3/04/2020,69052
4/04/2020,61101
5/04/2020,60804
6/04/2020,65971
7/04/2020,61589
8/04/2020,39035